,nro_conabip,mail
108,3001,bibliotecasarmiento1940@yahoo.com.ar
109,3302,No posee mail
110,3945,No posee mail
111,4005,bibliotecammoreno@hotmail.com
112,3318,bibliotecaeltalar@yahoo.com.ar
113,3650,No posee mail
114,957,No posee mail
115,4352,bpseamoslibres@yahoo.com
116,244,bibliotecarivadavia_tl@yahoo.com.ar
117,3837,bibliohoussay@yahoo.com.ar
118,4017,biblioluzycultura@hotmail.com
119,259,bibsarmiento@3net.com.ar
120,4221,bibliotecalatranquera@hotmail.com
121,1028,lamitredecaseros@gmail.com
122,1019,No posee mail
123,3254,bibliotecaascasubi2019@gmail.com
124,2040,bbcamitre@yahoo.com.ar
125,914,cpcultura@hotmail.com
126,3747,No posee mail
127,1045,No posee mail
128,740,No posee mail
129,3655,No posee mail
130,3660,No posee mail
131,3541,No posee mail
132,862,No posee mail
133,1053,No posee mail
134,2967,bibliotecapopularsumalao@hotmail.com
135,3344,biblioteca-eet5@hotmail.com
136,3672,No posee mail
137,2996,No posee mail
138,3003,bibliotecapibernus@hotmail.com
139,3491,No posee mail
140,2907,bcapopularcastellichaco@yahoo.com.ar
141,3459,bibnoronha@yahoo.com.ar
142,3582,bibliotecafontana@gmail.com
143,3674,andolfibiblioteca@hotmail.com
144,992,bipisarello@yahoo.com.ar
145,2198,bcalynch50@yahoo.com.ar
146,2549,No posee mail
147,3148,nuestrabiblio@hotmail.com
148,3281,bibliotecapopulartorres@yahoo.com.ar
149,3345,biblioguasti@yahoo.com.ar
150,3432,bibpopbrumana@hotmail.com
151,3477,bcaperon@yahoo.com.ar
152,3543,bibliobligado@hotmail.com
153,3670,No posee mail
154,2185,biblioteca113@yahoo.com.ar
155,3460,meduc.bibws@ecomchaco.com.ar
156,3510,No posee mail
157,4326,No posee mail
158,3821,bibliotecapopularelmaiten@gmail.com
159,4161,No posee mail
160,2414,No posee mail
161,3041,bibliopopberwyn@gmail.com
162,1819,bpaatw@gmail.com
163,3256,No posee mail
164,3355,No posee mail
165,3632,bibloprogreso4@hotmail.com
166,3732,bp.benedictoterrone@gmail.com
167,4324,No posee mail
168,3884,No posee mail
169,1375,bibliotecabecciu@gmail.com
170,1793,No posee mail
171,1991,No posee mail
172,2828,No posee mail
173,2994,bibliotecarebagliati@yahoo.com.ar
174,18,asociacionroffo@yahoo.com.ar
175,32,bibliotecapopularalberdi@yahoo.com.ar
176,2949,No posee mail
177,3042,bibliotecamalvinasargentinas@hotmail.com
178,3127,nuevabibliomatienzo@hotmail.com
179,3789,No posee mail
180,4243,bibliotecacortazarcba@yahoo.com.ar
181,4286,bibliotecapopularlibertad@yahoo.com.ar
182,4285,No posee mail
183,2045,No posee mail
184,4383,sayanacentroculturaleltalar@hotmail.com
185,4203,bibliotecaragonking@yahoo.com.ar
186,4277,bibliocawana@gmail.com
187,545,b.sarmiento@hotmail.com
188,1403,bibliotecamm2013@gmail.com
189,1872,bjingenieros@intinet.com.ar
190,3782,No posee mail
191,4014,No posee mail
192,2321,bibliotecacdb@yahoo.com
193,3593,bipop3593@hotmail.com
194,2197,No posee mail
195,544,bibliotecaflorentinoameghino@hotmail.com
196,549,No posee mail
197,4283,No posee mail
198,1756,bibatelleria@hotmail.com
199,3011,biblioasuncion@hotmail.com
200,2751,No posee mail
201,4097,bpscoronel@yahoo.com.ar
202,3729,gracielavaia@hotmail.com
203,2925,No posee mail
204,2794,No posee mail
205,2534,bpsmo@yahoo.com.ar
206,3333,No posee mail
207,4213,bibliotecapopularvilladelasrosas@yahoo.com.ar
208,4118,No posee mail
209,3853,bivignaud536@hotmail.com
210,1824,bibliotecapopularjifreyre@gmail.com
211,3623,No posee mail
212,1176,No posee mail
213,4232,No posee mail
214,2426,No posee mail
215,4026,No posee mail
216,4101,bibliotecaarnalponti@yahoo.com.ar
217,4042,bibliorayuela@yahoo.com.ar
218,3520,bibpopjamescraik@hotmail.com
219,873,No posee mail
220,586,bibliommm@yahoo.com.ar
221,2203,biblio_we@hotmail.com
222,495,biblioctesmagda@hotmail.com
223,2735,No posee mail
224,3317,bparandu@hotmail.com
225,3337,nanuva03@yahoo.com.ar
226,1373,No posee mail
227,509,literariabelgrano@gmail.com
228,2918,No posee mail
229,1311,No posee mail
230,3909,No posee mail
231,4224,No posee mail
232,3757,bipsancosme@gmail.com
233,3716,No posee mail
234,2970,bibliotecavnc@cableat.net
235,4077,No posee mail
236,4110,bpcgs4110@hotmail.com
237,1251,fabricacolon@hotmail.com
238,319,man.1872@concordia.com.ar
239,392,No posee mail
240,341,bibliosarmiento@yahoo.com
241,4240,teresamajul@hotmail.com
242,1615,bporientacion@arnet.com.ar
243,3751,bibliotecalosaromos@gmail.com
244,4111,No posee mail
245,4388,bibliotecapestacion@hotmail.com
246,3179,No posee mail
247,3495,No posee mail
248,3761,No posee mail
249,3721,No posee mail
250,3713,No posee mail
251,4098,No posee mail
252,3985,No posee mail
253,3183,No posee mail
254,771,No posee mail
255,3348,No posee mail
256,3575,bibliosanjoseobrero@hotmail.com
257,1260,No posee mail
258,3276,No posee mail
259,3059,No posee mail
260,774,No posee mail
261,3215,bmfierrodoblas@cosedo.com.ar
262,3279,bibliotecalaadela@hotmail.com
263,3377,No posee mail
264,3737,bibliorodo@cpenet.com.ar
265,4251,bibliotecapopularteresaperez@gmail.com
266,4345,bpmalvinasargentinas@gmail.com
267,3214,bibliochapaleufu@hotmail.com
268,806,sonirack77@yahoo.com.ar
269,4080,bibliotecarosales@hotmail.com
270,1945,biblioamartello@hotmail.com
271,3531,No posee mail
272,3171,No posee mail
273,3177,No posee mail
274,3347,biblioacha@yahoo.com.ar
275,718,bibliotecamarianomoreno@gmail.com
276,2687,No posee mail
277,4187,bibliociudadnar@hotmail.com
278,1805,No posee mail
279,1993,No posee mail
280,716,biblioteca026@gmail.com
281,726,No posee mail
282,723,No posee mail
283,1997,No posee mail
284,4090,No posee mail
285,4103,No posee mail
286,3266,bibescritoresalvearenses@gmail.com
287,4085,No posee mail
288,3497,bipo_jnazareno@yahoo.com.ar
289,3720,No posee mail
290,3993,No posee mail
291,4049,No posee mail
292,2894,biblioteca_pujadas@hotmail.com
293,2665,No posee mail
294,3190,bibdigenaro@yahoo.com.ar
295,4173,bibliotecarojasmza@hotmail.com
296,676,No posee mail
297,3265,No posee mail
298,4100,No posee mail
299,4293,bibliotecacirot@gmail.com
300,4211,No posee mail
301,802,No posee mail
302,793,bibposadas@arnetbiz.com.ar
303,3777,No posee mail
304,4258,bpsurargentino@yahoo.com
305,2995,No posee mail
306,3304,bibliotecahquir@yahoo.com.ar
307,3374,No posee mail
308,4214,No posee mail
309,3445,No posee mail
310,3210,No posee mail
311,824,bibliotecaolascoaga_chosmalal@yahoo.com.ar
312,4208,No posee mail
313,3840,No posee mail
314,3100,bibliolimay@yahoo.com.ar
315,3134,No posee mail
316,3220,bibliopopularkiquesanchezvera@gmail.com
317,3222,info.biblioberbel@gmail.com
318,3646,bib.granneuquen@hotmail..com
319,4123,No posee mail
320,4269,No posee mail
321,3099,bibliomalargen@hotmail.com
322,3169,No posee mail
323,3129,No posee mail
324,3150,bibliotecadelninio@hotmail.com
325,1303,secretaria@bibliotecasarmiento.com.ar
326,4373,labiblio.bibliotecaries@gmail.com
327,829,bibliotecageneralconesa@gmail.com
328,4201,No posee mail
329,1695,No posee mail
330,3195,bibliotecaraulentraigas@hotmail.com
331,3735,bibliotecaescritora@gmail.com
332,4087,No posee mail
333,3634,bibliopopulardecordero@yahoo.com.ar
334,3082,bipocre@hotmail.com
335,3415,No posee mail
336,3466,No posee mail
337,3105,No posee mail
338,3388,No posee mail
339,3141,No posee mail
340,1885,No posee mail
341,4335,No posee mail
342,1464,No posee mail
343,3084,No posee mail
344,3758,No posee mail
345,3914,No posee mail
346,3125,biblo424@hotmail.com
347,3605,No posee mail
348,3704,No posee mail
349,3838,bibliotecanoragodoy@hotmail.com
350,3791,No posee mail
351,752,No posee mail
352,3610,martinfierro2004jh@yahoo.com.ar
353,1366,sarmientobp1366@gmail.com
354,3759,bibaguaray@hotmail.com
355,4083,bibliotecaelmolino4083@yahoo.com.ar
356,760,No posee mail
357,3974,No posee mail
358,3686,No posee mail
359,4094,No posee mail
360,2620,biblpoplasflores2620@yahoo.com.ar
361,1729,No posee mail
362,3998,Bibliotecapop7@gmail.com
363,4263,No posee mail
364,2152,bibliotecajuanromulofernandez@hotmail.com
365,3464,No posee mail
366,4063,No posee mail
367,3637,bibgsm@yahoo.com.ar
368,4279,bpmariowvictorio@gmail.com
369,3398,No posee mail
370,601,No posee mail
371,3487,No posee mail
372,3397,No posee mail
373,2639,bibliotecaisaacnewton@gmail.com
374,3230,No posee mail
375,3500,biblioaimepaine@hotmail.com
376,1426,No posee mail
377,3407,No posee mail
378,3484,biblioteca@riogallegos.gov.ar
379,3527,bibliokunfiquiros@yahoo.com
380,3512,No posee mail
381,4304,biblioculturaelchalten@yahoo.com.ar
382,3567,No posee mail
383,490,biblioteca9dejulio@tostado.com.ar
384,2951,bibliotecajhernandez@arnet.com.ar
385,1936,bibliotecamdeoca@redcrs.com.ar
386,2760,bibelateneo@gmail.com
387,3342,No posee mail
388,472,No posee mail
389,4316,bib-alfonsinastorni.cbicha@hotmail.com
390,2941,No posee mail
391,1188,No posee mail
392,935,No posee mail
393,1116,No posee mail
394,3678,No posee mail
395,2256,No posee mail
396,1808,binioro@gmail.com
397,1749,No posee mail
398,1994,No posee mail
399,3603,No posee mail
400,3812,graciela_2102@hotmail.com
401,4360,bibliotecafortinarenales@outlook.es
402,414,biblioteca.br@gmail.com
403,1145,No posee mail
404,2831,bibliosarmientoadeo@hotmail.com
405,3817,No posee mail
406,4070,giaconecarlos@yahoo.com.ar
407,973,amigosdelabibliotecasarmiento@gmail.com
408,2913,ccvigilveloisa@outlook.com
409,3558,No posee mail
410,1771,No posee mail
411,1016,bibpop@santafe-conicet.gov.ar
412,2331,bibmaestro@gmail.com
413,2772,bpizzurnosfe@hotmail.com
414,3934,bibliotecabica@gmail.com
415,4391,No posee mail
416,2698,No posee mail
417,3873,bibliote@pilar-sfe.com.ar
418,4226,bibliotecapopularmed@hotmail.com
419,3978,bibliotecammsjn@hotmail.com
420,2110,No posee mail
421,430,No posee mail
422,3898,bpelbuensaber2004@yahoo.com.ar
423,440,No posee mail
424,982,bibliotecaamoralestudio@hotmail.com
425,2005,bibliohomero@hotmail.com
426,2094,bibpopfherrera@yahoo.com.ar
427,3528,bibliolaflorida@yahoo.com.ar
428,3869,bibliorfontanarrosa@hotmail.com
429,3820,No posee mail
430,3911,masosa@cooparrufo.com.ar
431,4157,compartir-08@hotmail.com
432,4038,bibliojmigno@yahoo.com.ar
433,4282,bpcdiaz@hotmail.com
434,1152,bibliotecasarmiento@arnet.com.ar
435,3538,No posee mail
436,489,No posee mail
437,1119,bibliotecacdarosquin@velosat.com.ar
438,3013,bibliotecapopulardelandeta@gmail.com
439,2946,No posee mail
440,4223,bpalejandria@outlook.com
441,1395,No posee mail
442,4029,bibjhernandez4029@yahoo.com.ar
443,4015,bibliopopularfelicia@outlook.com
444,4044,No posee mail
445,4174,bibpopmarianomoreno@yahoo.com.ar
446,3699,No posee mail
447,3703,bpnassif@hotmail.com
448,2311,No posee mail
449,2456,No posee mail
450,2763,bibliotecapopularconradojuarez@hotmail.com
451,3123,bpcarlospellegrini@live.com.ar
452,3274,bpsanmartinlabanda@hotmail.com.ar
453,3827,bibpopriodulce@hotmail.com
454,621,bibliotecasociedadsarmiento@hotmail.com
455,1665,No posee mail
456,3428,No posee mail
457,3566,bibliosigloveintiuno@hotmail.com
458,616,No posee mail
459,1179,bibsarmientoanatuya@hotmail.com
460,1361,No posee mail
461,3340,bibliotecakaukren@hotmail.com
462,3951,nuestra_biblioteca@hotmail.com
463,4150,bplmp@hotmail.com
464,1489,No posee mail
465,2032,No posee mail
466,640,No posee mail
467,3532,bibliopadresaravia@gmail.com
468,661,No posee mail
469,1799,bpcnv@yahoo.com.ar
470,3077,No posee mail
471,3291,No posee mail
472,1658,No posee mail
473,4158,bibliolaranda@yahoo.com.ar
474,88,No posee mail
475,1554,eleana_1983@hotmail.com
476,2870,bibliorojaspaz@gmail.com
477,3719,bibliotecapopularpteavellaneda@yahoo.com.ar
478,3051,bnicolasavellaneda@yahoo.com.ar
479,3392,No posee mail
480,3587,bibliotecamallea@yahoo.com.ar
481,4022,bibpopgabmistral@yahoo.com.ar
482,1465,bibliomarianomorenoiw@gmail.com
483,3132,bibliotecapronsato@yahoo.com.ar
484,2159,No posee mail
485,2723,bipopbernaltorres@gmail.com
486,1769,bpurdampilleta@yahoo.com.ar
487,2191,bbelgrano@yahoo.com.ar
488,1266,bibliotecapopulardfsarmiento@hotmail.com
489,268,bibliotejedor@yahoo.com.ar
490,270,bibliocada@yahoo.com.ar
491,105,bibliotecanovaro@hotmail.com
492,1312,No posee mail
493,3483,biblioelperdido@gmail.com
494,3894,bibliotecapopularhuanguelen@gmail.com
495,3647,No posee mail
496,4065,anamzanoni@yahoo.com.ar
497,1673,bp20dediciembre@gmail.com
498,3499,arravera@hotmail.com
499,3891,No posee mail
500,131,bibliofbalcarce@yahoo.com.ar
501,2914,nesoa_07@yahoo.com.ar
502,3633,bibliogranada@yahoo.com.ar
503,4002,bibliotecalatradicion@yahoo.com.ar
504,3696,biblo093@yahoo.com.ar
505,3574,bibliotecamardeltuyu@yahoo.com.ar
506,3910,No posee mail
507,3128,ctc0057@hotmail.com
508,3241,No posee mail
509,4010,amigosdelatablada@yahoo.com.ar
510,3736,No posee mail
511,1747,No posee mail
512,1830,No posee mail
513,2436,bibliojuanvucetich@gmail.com
514,2546,No posee mail
515,3313,No posee mail
516,3877,biblioteca_elizalde@yahoo.com.ar
517,3954,casadeltango_lp@hotmail.com.ar
518,4171,ongenlazandopalabras@hotmail.com
519,1920,bibpopmarianomoreno@hotmail.com
520,4117,No posee mail
521,3153,nuevabibliomatienzo@hotmail.com
522,279,No posee mail
523,3622,bibliopopularsanmanuel@gmail.com
524,4196,bipopu_argentinos07@yahoo.com.ar
525,4115,bibjuliocortazar@yahoo.com.ar
526,2401,bibliolonghi@hotmail.com
527,3754,bibliotecasanjose2000@yahoo.com.ar
528,4262,No posee mail
529,4241,bibliotecadepiran@yahoo.com.ar
530,3303,No posee mail
531,3949,No posee mail
532,4336,bibliotkalmafuerte@gmail.com
533,3886,No posee mail
534,4106,No posee mail
535,4274,biblioparlantesur@hotmail.com
536,3901,biblioteca_jsgaviota@hotmail.com
537,1710,No posee mail
538,3552,biblioquequen@hotmail.com
539,3889,No posee mail
540,215,bibrivadavia@gmail.com
541,1743,bibliomo@hotmail.com
542,3966,bibliopuma@yahoo.com.ar
543,4250,marianoadot6@yahoo.com.ar
544,2984,No posee mail
545,98,No posee mail
546,3157,bibliozampa@hotmail.com
547,3697,bibliomunicipal.rivadavia@gmail.com
548,3829,No posee mail
549,210,bib.sarmiento.pigue@gmail.com
550,3659,No posee mail
551,4031,No posee mail
552,4061,No posee mail
553,192,No posee mail
554,3866,No posee mail
555,287,bibliopopsanmartin2001@yahoo.com.ar
556,3628,No posee mail
557,3960,No posee mail
558,2830,bibliopombo@gmail.com
559,4178,humbertobielli@hotmail.com
560,2691,No posee mail
561,1228,bibliotecadfsarmiento@gmail.com
562,997,bpsarkorn@yahoo.com.ar
563,3802,bpalbarracin@yahoo.com.ar
564,3906,bibliotecaghezzi@gmail.com
565,4132,No posee mail
566,3050,biblios@netben.com.ar
567,3689,bpjingenieros@hotmail.com
568,3262,bibliotecasaldungaray@gmail.com
569,4120,bpmacedonio@gmail.com
570,2405,No posee mail
571,2275,bibitalar@hotmail.com
572,3727,biblo15deagosto@hotmail.com
573,2711,biblioteca_jose_ingenieros@yahoo.com.ar
574,1191,biblioalmafuerte@hotmail.com
575,3880,No posee mail
576,3830,bibliotecapopularbdelom@yahoo.com.ar
577,2954,No posee mail
578,3797,No posee mail
579,3526,No posee mail
580,3017,No posee mail
581,3471,No posee mail
582,3469,bibliotecapopularfranco@hotmail.com
583,3654,bibliotecasantarosa@yahoo.com.ar
584,1377,No posee mail
585,3310,biblpoparc@yahoo.com.ar
586,3389,gladysf_cajcepn7@yahoo.com.ar
587,3409,bibliovigil21@gmail.com
588,2999,No posee mail
589,3548,bibliotecaaguado_lv@hotmail.com
590,3456,bcajaimehomar@yahoo.com.ar
591,3673,bibliotecabp136@hotmail.com.ar
592,3612,No posee mail
593,3555,No posee mail
594,783,bibliommoreno@hotmail.com
595,3450,bib.juanramonlestani@hotmail.com
596,4313,bibliotecamalvinas@hotmail.com
597,3005,delcentenario1@hotmail.com
598,3349,bibpopesas@hotmail.com
599,3418,bibliotecaurdapilleta@hotmail.com.ar
600,3446,bibliope_bartolomemitre@hotmail.com
601,3564,No posee mail
602,3549,domingocapozzolo@yahoo.es
603,3000,bibricardoguiraldes@yahoo.com.ar 
604,4259,bibliotecachubutparatodos@hotmail.com
605,4047,bibrincon@gmail.com
606,3899,ledmuriel@yahoo.com
607,4331,hola@labibliotecadeastra.com
608,3773,No posee mail
609,3378,karinaovelar@hotmail.com
610,3080,bibpopfcoguerra84@hotmail.com
611,2551,biblioteca2551@yahoo.com.ar
612,3402,No posee mail
613,3667,No posee mail
614,2675,No posee mail
615,4266,bplamemoria@gmail.com
616,4318,No posee mail
617,1943,bibliotecabrivadavia@yahoo.com.ar
618,2111,centroproteccion@latinmail.com
619,3270,No posee mail
620,4197,bpflacroze@gmail.com
621,28,bibliotecapueyrredon@hotmail.com
622,3645,bibliotecarojas@yahoo.com.ar
623,870,biblialberdi@yahoo.com.ar
624,3218,No posee mail
625,3572,bibliotecapopularhugowast@yahoo.com.ar
626,3845,biblioalfonsinastorni@gmail.com
627,4028,bpatahualpa@hotmail.com
628,4309,bibliopopmadretc@yahoo.com.ar
629,547,No posee mail
630,4290,bping.dumesnil@hotmail.com
631,2924,No posee mail
632,582,No posee mail
633,3723,bpjhernandez@hotmail.com
634,2615,bibpopjlc@yahoo.com.ar
635,2884,No posee mail
636,2424,No posee mail
637,1758,juanbenitzbiblioteca@gmail.com
638,1867,bibliotecapopularsarmiento@yahoo.com.ar
639,2148,No posee mail
640,3568,bpbischoff@hotmail.com
641,2900,No posee mail
642,2866,bibliotecarrojas@hotmail.com
643,1500,juanbalberdi1500@yahoo.com.ar
644,584,No posee mail
645,4312,bpjlborgeslapuerta@hotmail.com
646,4395,bibliotecaelmanantialcb@gmail.com
647,4294,bibliotecapopulardeluyaba@yahoo.com.ar
648,3666,No posee mail
649,3931,fernandoercole@hotmail.com
650,2265,No posee mail
651,3997,bpmarianomoreno@yahoo.com.ar
652,3044,No posee mail
653,3744,No posee mail
654,4362,bplaurdimbre@gmail.com
655,4126,bibliomanuelamedina@yahoo.com.ar
656,2081,No posee mail
657,1837,atleticopascanas@yahoo.com.ar
658,492,No posee mail
659,494,No posee mail
660,3298,librosabato@yahoo.com.ar
661,3368,No posee mail
662,4165,coembapora@yahoo.com.ar
663,501,bpsarmientogoya@gmail.com
664,1957,bibliotecapopularalvear@hotmail.com
665,504,No posee mail
666,3472,bpleamosjuntos2010@hotmail.com
667,2419,No posee mail
668,1530,bibliotecasarmientomercedes@gmail.com
669,1918,No posee mail
670,4088,bpramonbarboza@hotmail.com
671,3559,No posee mail
672,3285,bp3285@bepe.ar
673,512,biblioteca512@hotmail.com
674,523,No posee mail
675,3778,No posee mail
676,385,bibliotecapopularurquiza@multichajari.com.ar 
677,338,bibliotecapop.67@gmail.com
678,3614,luzdeprovincia@arnet.com.ar
679,2266,bibliotecalopezjordangchu@gmail.com
680,3798,bpsm3798@hotmail.com
681,330,No posee mail
682,370,No posee mail
683,3401,bibliotecase@hotmail.com
684,3290,laviejaestacionhernandez@hotmail.com
685,4297,No posee mail
686,3511,No posee mail
687,401,bibliotecacarruego@gmail.com 
688,303,bibliotecapopularelporvenir@yahoo.com.ar
689,4359,bibliotecapopularsanjusto@hotmail.com
690,384,No posee mail
691,787,No posee mail
692,3435,No posee mail
693,3636,No posee mail
694,4236,No posee mail
695,2976,No posee mail
696,3314,bipopesfo@hotmail.com
697,2964,No posee mail
698,3780,No posee mail
699,3976,No posee mail
700,4275,No posee mail
701,3307,No posee mail
702,769,No posee mail
703,770,No posee mail
704,3682,No posee mail
705,3227,No posee mail
706,3275,No posee mail
707,4267,No posee mail
708,4281,No posee mail
709,772,No posee mail
710,4124,biblioteca_emorisoli@hotmail.com
711,3839,bp3839@bepe.ar
712,3321,No posee mail
713,3722,ivaveroferrer@yahoo.com.ar
714,3181,biblio_mayer@yahoo.com.ar
715,3563,No posee mail
716,3874,bibabramo@hotmail.com
717,1509,biblio_mb_luantoro@hotmail.com
718,815,bibliorica@yahoo.com.ar
719,808,bibliotecaestrada@yahoo.com
720,3231,josehernandezbp@yahoo.com.ar
721,2122,No posee mail
722,1477,bibliotecacaleufu@yahoo.com.ar
723,2457,No posee mail
724,823,biblioquetre@cernet.com.ar
725,3308,No posee mail
726,2647,bibliotecatrenel@yahoo.com.ar
727,719,No posee mail
728,1345,bmarcelinoreyes@gmail.com
729,3529,No posee mail
730,3918,No posee mail
731,3606,No posee mail
732,665,ifsapaag@hotmail.com
733,3486,bibliotecapmvivante@yahoo.com.ar
734,1256,bibliotecatomasgcruzcosta@hotmail.com
735,3613,bibliotecapopularlucilabombal@hotmail.com
736,3228,No posee mail
737,4246,biblioteca_pedro_azin@hotmail.com
738,689,bibliopop.julioaroca@gmail.com
739,3329,No posee mail
740,1276,bibliotecafranciscopenasco@yahoo.com.ar
741,4278,No posee mail
742,3360,No posee mail
743,3234,bibliotecapopularvistaflores@yahoo.com.ar
744,3299,bibcardozo@yahoo.com.ar
745,3336,bibpop3336@yahoo.com.ar
746,3995,No posee mail
747,4329,No posee mail
748,2939,No posee mail
749,4387,No posee mail
750,790,No posee mail
751,3324,No posee mail
752,3755,bpmejorpasar@hotmail.com.ar
753,3395,bibpetcoff@yahoo.com.ar
754,2944,bibliotecahoracioquiroga@live.com
755,4079,bibleer@yahoo.com.ar
756,4128,No posee mail
757,3217,No posee mail
758,4160,bibliotecaquintu@yahoo.com.ar
759,3092,butaruca@yahoo.com.ar
760,3536,No posee mail
761,3103,bpjcortazar@yahoo.com.ar
762,3146,No posee mail
763,3319,bpescritoresneuquinos@gmail.com
764,4032,No posee mail
765,4052,bibliotecadenevares@yahoo.com.ar
766,4152,No posee mail
767,3131,No posee mail
768,3160,No posee mail
769,3161,No posee mail
770,3919,bibliocarmen.mellado@gmail.com
771,4254,biblioteca15dejunio@hotmail.com
772,826,bp9jul@smandes.com.ar
773,3106,No posee mail
774,4273,No posee mail
775,4229,No posee mail
776,3095,No posee mail
777,4332,No posee mail
778,4130,No posee mail
779,4235,bibliotecapabloneruda@live.com.ar
780,3147,bibliotecapgv@yahoo.com.ar
781,3206,No posee mail
782,967,elarteesrealidad@yahoo.com.ar
783,3068,bibliotecalamarque@hotmail.com
784,3326,No posee mail
785,3601,No posee mail
786,3964,bibliofranciscomoreno@yahoo.com.ar
787,4181,biblioborges@hotmail.com
788,3081,No posee mail
789,3362,lesniniesprimero@gmail.com
790,4149,bibliopopluciaepullan@yahoo.com.ar
791,4374,bibliotecapuertodeleste@outlook.com
792,2926,bibliotecacincuentenario@yahoo.com.ar
793,3126,No posee mail
794,3651,elba_ugarte@hotmail.com
795,3677,No posee mail
796,3734,biposamposal@hotmail.com
797,3746,No posee mail
798,3822,bpsarmiento3822@hotmail.com
799,3991,No posee mail
800,4092,No posee mail
801,4108,No posee mail
802,1825,No posee mail
803,4062,No posee mail
804,3385,No posee mail
805,4194,No posee mail
806,3965,No posee mail
807,3745,bpsantavictoria@gmail.com 
808,4364,No posee mail
809,3733,marina_vilte@hotmail.com
810,1510,No posee mail
811,3294,No posee mail
812,3311,bibpopem@hotmail.com
813,3521,No posee mail
814,3108,cervantesbiblioteca98@gmail.com
815,4093,alfonsinastorni.rawsonsj@gmail.com
816,4217,bibliotecapopularsur@hotmail.es
817,3693,bibliotecapopularmarianomoreno@hotmail.com
818,1349,No posee mail
