,Cueanexo,id_depto,Nombre
127,180016400,18140,ESCUELA Nº 113 SIMON FIDEL BUSTINDUY
128,180066900,18070,ESCUELA Nº 511 PREFECTURA NAVAL ARGENTINA
129,180072300,18042,ESCUELA PRIMARIA Nº 267
130,180080600,18028,ESCUELA Nº 799 MARIA ANGELICA ARBO DE BORJAS
131,180113300,18140,ESCUELA PRIMARIA COMUN Nº 736
132,180117400,18021,ESCUELA Nº 155 SAN VICENTE DE PAUL
133,180159607,18028,J.I.N. Nº 26 - ESCUELA Nº 315
134,180160501,18063,J.I.N. Nº 31 - ESCUELA Nº 189
135,220017300,22133,E.E.P. Nº 277 - JUAN MAC FARLANE
136,220031300,22007,E.E.P. Nº  806
137,220057300,22084,E.E.P. Nº 587 - PROFESOR RICARDO ROJAS
138,220108001,22021,JARDIN DE INFANTES Nº 68 - ARNALDO PONS
139,220188600,22049,JARDIN DE INFANTES Nº  162
140,220197500,22063,BIBLIOTECA ESCOLAR Nº 276 OLGA BEATRIZ SCHEFFER
141,260041501,26021,I.S.F.D. Nº 807- SARMIENTO
142,260041900,26035,ESCUELA Nº 191
143,260056200,26077,INST. SUP. DE MECÁNICA DENTAL Nº 1814
144,260076600,26021,INSTITUTO DEL ALTISIMO SCHOOL
145,300013200,30021,DOMINGO FRENCH 36
146,300030900,30008,BASES 26
147,300032600,30056,MARTIN DOELLO JURADO 99
148,300052500,30056,FRANCISCO RAMIREZ 94
149,300083100,30084,GASPAR BENAVENTO 202
150,300132000,30008,PRIV. INSTITUTO SAN JOSE D-46
151,300159400,30056,UNIDAD EDUCATIVA SEGUNDA MAMA 4
152,300159600,30015,ESCUELA SECUNDARIA PROFESOR GERARDO VICTORIN 16
153,300169900,30035,CORONEL MANUEL DE OLAZABAL 40
154,300187800,30084,ESCUELA SECUNDARIA CESAREO BERNALDO DE QUIROS 35
155,300196300,30084,ESCUELA SECUNDARIA OLEGARIO VICTOR ANDRADE 26
156,300255800,30105,ESCUELA SECUNDARIA 12 HIPOLITO YRIGOYEN
157,300311806,30088,CENTRO FORMACION PROFESIONAL 186
158,300330500,30008,UNIDAD EDUCATIVA DE NIVEL INICIAL 30
159,340022100,34036,EPES Nº 23
160,340023300,34063,EPEP Nº 467
161,340025800,34035,EPEP Nº 168
162,340087602,34036,JIN Nº 14 - EPEP Nº 405 PROFESORA MARÍA DE ABELLEYRA
163,340113500,34014,C.D.I. SAGRADA ESPERANZA
164,380054301,38084,INSTITUTO DE EDUCACIÓN SUPERIOR N 3
165,380063600,38094,ESCUELA PROVINCIAL AGROTÉCNICA N 10
166,380087701,38007,J.I.N. 12
167,380098400,38021,INSTITUTO SUPERIOR SAN EXPEDITO
168,420002800,42133,Escuela Nº 249 Herminia Gandini de Díaz
169,420018300,42098,Escuela para Adultos Nº 7
170,420091300,42042,Colegio Secundario Puelches
171,420101201,42105,Extensión Áulica Nº 1  Centro Provincial de Formación Nº 6 en General Pico
172,460017500,46042,ESC.N°261 9 DE JULIO
173,460029700,46035,INSTITUTO PRIVADO PBRO.LUIS TORRES MOLINA
174,460068800,46035,ESC.N°339 DE HILADOS Y TEJIDOS
175,460081500,46042,JARDIN DE INFANTES N°48 BURBUJITAS DE ALEGRIAS
176,460082606,46091,COLEGIO SECUNDARIO PROVINCIAL EL CADILLO  (ESC.N°207 CAUDILLOS RIOJANO)
177,460088100,46014,JARDIN DE INFANTES N°071
178,500017102,50063,MAESTRO DE POSTA VALENTIN ORTIZ
179,500023300,50049,BASILIO AURELIANO BERTOMEU
180,500036800,50126,ESCUELA CRISTIANA EVANGÉLICA ARGENTINA
181,500047700,50105,MANUEL BELGRANO
182,500055800,50098,ESCULTOR JUAN MANUEL FERRARI
183,500104800,50105,PEDRO MOLINA
184,500107400,50105,ANA ENRIQUETA GUYOT DE CALZADA
185,500184900,50126,SOL DE TUPUNGATO (EX 0-110)
186,500218105,50063,ESPACIO DE LIBERTAD(PEN. FEDERAL)
187,500244000,50063,C.E.B.J.A. Nº 3-251
188,500255500,50098,MANITOS FELICES
189,540134500,54042,ESC. Nº 858: HEROES DE MALVINAS
190,540169203,54049,NENI Nº 2047 (Ext. ESC. Nº 765)
191,540184804,54049,U.G.L. Nº 14 (Ext. Esc. Nº 388)
192,540192600,54105,INST. NTRA.SRA.DE MBORORÉ
193,580013612,58035,INSTITUTO PROVINCIAL DE EDUCACIÓN TERCIARIA 1 ANEXO PLAZA HUINCUL
194,580099300,58056,PLANTA DE CAMPAMENTO EDUCATIVO 10 CHACHIN
195,580107800,58035,NUCLEAMIENTO EDUCATIVO 3
196,580113300,58035,JARDÍN DE INFANTES 61
197,620022100,62021,CENTRO DE EDUCACION TECNICA NRO. 2 ESC.EDUC.TCA.J.NEWBERY
198,620084000,62021,JARDIN MATERNAL Y DE INFANTES LOS ENANITOS DE LA ESPERANZA
199,660008100,66049,COLEGIO SECUNDARIO DOCTOR FACUNDO DE ZUVIRIA  EX N° 8
200,660010400,66140,ESCUELA DE EDUCACION TECNICA Nº 3132  EX N° 5132
201,660037000,66126,ESCUELA N° 4491 EX N° 697
202,660058200,66056,ESCUELA DE EDUCACION TECNICA GRAL E. MOSCONI Nº 3123
203,660128303,66119,B.S.P.A. N° 7157 Anexo Seclantas
204,660148300,66140,CENTRO DE COMPUTACION EDUCATIVO CHIP
205,660154800,66008,Escuela N° 4781 - Paraje Santa Clara
206,660163700,66028,INSTITUTO SAN ANDRES Nº 8225
207,700060300,70028,E.E.E. DR. GUILLERMO RAWSON
208,700063701,70105,C.E.N.S. HÉROES DE MALVINAS ANEXO LOS BERROS
209,700086600,70077,ESCUELA DE NIVEL INICIAL ENI N°28
210,700094300,70056,JINZ N°3 JACHAL PROVINCIA DE CHUBUT
211,700101700,70098,ESCUELA DE EDUCACIÓN INICIAL ENI N°64
212,700105504,70021, JINZ N°25 CALINGASTA BENITO JUAREZ
213,700115100,70091,ESCUELA NOCTURNA CEFERINO NAMUNCURÁ
214,780029100,78042,ESCUELA ESPECIAL Nº 12
215,820038000,82070,ESCUELA NRO 230 JOSE PEDRONI
216,820047100,82063,ESCUELA PART. INC. NRO 1314 INMACULADA CONCEPCION
217,820089900,82084,ESCUELA PART. INC. NRO 1283 DOCTOR ALBERT SABIN
218,820090900,82084,ESCUELA NRO 1294 2 DE ABRIL
219,820108204,82084,GRADO RADIAL IV - ESCUELA NOCTURNA NRO 77 PROVINCIA DE SANTA FE
220,820129802,82056,CE.C.LA. NRO 136 HERMANO GERMÁN BONACINA
221,820135800,82126,E.E.S. ORIENTADA NRO 337 BRIGADIER ESTANISLAO LOPEZ
222,820143700,82014,JARDIN DE INFANTES NRO 113 DOCTOR JULIO MAIZTEGUI
223,820184400,82084,JARDIN DE INFANTES NRO 101 JOSE PEDRONI
224,820204502,82084,EXTENSION AULICA E.E.M.P.A. NRO 1165
225,820216400,82091,JARDIN DE INFANTES PART. INC. NRO 1332 SAN MARTIN DE PORRES
226,820217200,82063,JARDIN DE INFANTES PART. INC. NRO 1256 SAN JUAN PABLO II
227,820231100,82091,ESCUELA NRO 6041 NEUQUEN
228,820262600,82007,I.S.P.I. NRO 9003 SAGRADO CORAZÓN DE JESÚS
229,820274600,82084,E.E.S. ORIENTADA PART. INC. NRO 8053 SANTÍSIMO ROSARIO
230,820288800,82070,ESCUELA NRO 345 MANUEL BELTRAN
231,820309603,82091,C.E.R. NRO 223 MERCEDITAS DE SAN MARTIN
232,820328200,82084,ESCUELA NRO 1357 DOCTOR ESTEBAN LAUREANO MARADONA
233,820384700,82112,CENTRO DE EDUCACION FISICA NRO 23
234,820393802,82028,CENTRO DE ALFABETIZACION NRO 202
235,820396800,82084,E.E.M.P.A. NRO 1310 BANDERA ARGENTINA
236,820455200,82084,E.E.S. ORIENTADA NRO 605
237,860003800,86133,ESCUELA Nº757 PEDRO GIL HEREDIA
238,860004200,86133,ESCUELA Nº767
239,860004400,86133,ESCUELA Nº650
240,860004900,86133,ESCUELA Nº886 MAESTRO HONORIO GALVAN
241,860050500,86049,JARDIN MUNICIPAL Nº17DIVINO NIÑO JESUS
242,860076500,86182,ESCUELA Nº1120
243,860096200,86056,INSTITUTO SUPERIOR DE FORMACION DOCENTE N° 6 MONS J GOTTAU
244,860107801,86133,AGRUPAMIENTO Nº 86030 ESC Nº 986
245,860121900,86049,INSTITUTO SAN ROQUE
246,860183600,86049,CENTRO DE EDUCACION BASICA DE ADULTOS N° 024
247,900037900,90084,ESC. BERNARDINO RIVADAVIA
248,900046000,90014,ESC. GOBERNADOR JOSE POSSE
249,900077700,90119,COL. PRESENTACION DE MARIA
250,900098900,90056,ESC. CACIQUE CANAMICO
251,900177516,90119,C.E.B.A. N° 1-6
252,900187900,90056,INST. CRISTO REDENTOR
253,900198500,90007,ESCUELA SECUNDARIA EL PUESTITO
254,900227900,90063,INSTITUTO PRIVADO CURA BROCHERO
255,900238500,90014,ESC. DE NIVEL INICIAL BARRIO 470 VIVIENDAS
256,940008606,94014,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº 15 - ANEXO UPCN
257,940010400,94007,COLEGIO DON BOSCO - RIO GRANDE
258,940020300,94007,ESCUELA PROVINCIAL N°46 - GENERAL MARTÍN MIGUEL DE GÜEMES
259,60009600,6760,ESCUELA DE EDUCACIÓN PRIMARIA Nº23 ALFONSINA STORNI
260,60181800,6028,ESCUELA DE EDUCACIÓN PRIMARIA Nº71
261,60187500,6343,ESCUELA DE EDUCACIÓN PRIMARIA Nº21 JUSTO JOSE DE URQUIZA
262,60187900,6343,JARDÍN DE INFANTES Nº902 CANDIDO MONEO SANZ
263,60194900,6658,JARDÍN DE INFANTES Nº926 ELISEO CAPPARELLI
264,60280700,6497,INSTITUTO MUNICIPAL SUPERIOR DE EDUCACIÓN Y TECNOLOGÍA DR. EMILIO MIGNONE
265,60284700,6441,COLEGIO SANTA LUCIA
266,60315200,6441,ESCUELA DE EDUCACIÓN PRIMARIA Nº70 19 DE NOVIEMBRE
267,60320000,6280,JARDÍN DE INFANTES Nº905 HECTOR LUIS MIQUELAY
268,60323800,6658,COLEGIO NAZARETH
269,60352500,6210,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 FAUSTINO SARMIENTO
270,60368700,6840,ESCUELA DE EDUCACIÓN PRIMARIA Nº1 RICARDO ROJAS
271,60387600,6847,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 MARIANO MORENO
272,60392800,6280,ESCUELA DE EDUCACIÓN PRIMARIA Nº10 JOSÉ MANUEL ESTRADA
273,60392900,6280,JARDÍN DE INFANTES JUAN XXIII
274,60436000,6105,JARDÍN DE INFANTES Nº906 GLADYS URRETA DE CASTELLANI
275,60469400,6408,JARDÍN DE INFANTES SANTA MARTA
276,60475100,6826,ESCUELA DE EDUCACIÓN PRIMARIA Nº20 TAMBOR DE TACUARI
277,60479000,6070,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 ARMADA ARGENTINA
278,60495200,6274,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 GUILLERMO ENRIQUE HUDSON
279,60515500,6049,ESCUELA ESPECIAL Nº507 MADRE TERESA DE CALCUTA
280,60544800,6742,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 ALMAFUERTE
281,60573500,6882,ESCUELA DE EDUCACIÓN PRIMARIA Nº37 DR. JOSÉ M. GUERCI
282,60581300,6126,JARDÍN DE INFANTES Nº916 JORGE SIMINI
283,60581400,6126,ESCUELA DE EDUCACIÓN PRIMARIA Nº28 ERNESTO BLONDEAU
284,60600100,6833,ESCUELA DE EDUCACIÓN PRIMARIA Nº31 BARTOLOME MITRE
285,60638300,6655,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 BASE AERONAVAL PUNTA INDIO
286,60680100,6763,INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº128 R. OBLIGADO
287,60695600,6134,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 JORGE NEWBERY
288,60739000,6763,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº5 JOSÉ ANTONIO BOCANERA
289,60757200,6343,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 DARDO ROCHA
290,60759600,6028,JARDÍN DE INFANTES Nº901 SAN GABRIEL
291,60770500,6515,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 SARGENTO JUAN BAUTISTA CABRAL
292,60782501,6434,CENTRO DE ADULTOS Nº711/10
293,60806600,6007,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4
294,60854100,6441,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17
295,60859100,6539,INSTITUTO MANUEL BELGRANO
296,60891400,6260,ESCUELA DE EDUCACIÓN PRIMARIA Nº48 ANGELA JULIA GONZALEZ DE BARBIER
297,60893100,6434,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 REMEDIOS DE ESCALADA DE SAN MARTIN
298,60955200,6525,ESCUELA DE EDUCACIÓN PRIMARIA Nº1 BARTOLOME MITRE
299,60988200,6840,JARDÍN DE INFANTES Nº903 GABRIELA MISTRAL
300,61115000,6413,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9 EXPEDICIONARIO AL DESIERTO
301,61131900,6805,JARDÍN DE INFANTES Nº901 DOMINGO FAUSTINO SARMIENTO
302,61176001,6518,CENTRO DE ADULTOS Nº702
303,61198900,6056,ESCUELA DE EDUCACIÓN PRIMARIA Nº65 REMEDIOS DE ESCALADA DE SAN MARTIN
304,61233000,6756,ESCUELA PERITO MORENO
305,61280400,6763,JARDÍN DE INFANTES Nº922 HEROES DE MALVINAS
306,61318700,6434,ESCUELA DE EDUCACIÓN PRIMARIA Nº50 PATAGONIA ARGENTINA
307,61368802,6270,CENTRO DE ADULTOS Nº705
308,61440600,6427,CENTRO DE ALFABETIZACION Nº47
309,61441700,6427,CENTRO DE ALFABETIZACION Nº139
310,61614700,6441,ESCUELA ESPECIAL CENTRO DE DIA
311,61657600,6112,CENTRO EDUCATIVO COMPLEMENTARIO Nº2
312,61674300,6035,INSTITUTO EDUCATIVO ARGENTINO
313,61696900,6497,ESCUELA CRISTIANA FUENTE DE LUZ
314,61722200,6274,ESCUELA DE EDUCACIÓN SECUNDARIA Nº21
315,61748900,6427,ESCUELA DE EDUCACIÓN SECUNDARIA Nº169
316,61771701,6441,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº77
317,61810600,6274,ESCUELA DE EDUCACIÓN SECUNDARIA Nº43
318,61813600,6483,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5
319,61877000,6770,ESCUELA DE EDUCACIÓN SECUNDARIA Nº15
320,61998000,6735,ESCUELA MUNICIPAL MANUEL BELGRANO
321,62004900,6840,ESCUELA DE EDUCACIÓN SECUNDARIA Nº22
322,62035200,6515,JARDÍN DE INFANTES ALITAS BLANCAS
323,62064300,6791,ESCUELA DE EDUCACIÓN SECUNDARIA Nº13
324,62086100,6245,CENTRO DE FORMACION PROFESIONAL Nº402
325,62093900,6434,ESCUELA DE ARTE GASTRONOMICO
326,62122000,6412,JARDÍN DE INFANTES Nº920 RENÉ FAVALORO
327,62122800,6630,ESCUELA ESPECIAL Nº501
328,62180000,6742,JARDÍN DE INFANTES RURAL Nº4
329,62180400,6861,MARIA AUXILIADORA
330,62183900,6035,NUESTRA SEÑORA DE LA ASUNCION
331,62199800,6882,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº5 DOCTOR OSCAR MELILLO
332,62289800,6371,INSTITUTO NUESTRA SEÑORA DEL LIBANO
333,62290600,6371,ESCUELA SECUNDARIA TÉCNICA DE LA UNSAM
334,62339200,6441,JARDÍN MATERNAL Nº4
335,62350500,6875,JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA Nº12
336,62389200,6539,JARDIN DE INFANTES N°961
337,62412200,6638,COLEGIO CHESTERTON
338,62438000,6441,ESCUELA MUNICIPAL LAS ALGARROBAS - NIVEL INICIAL
339,100002600,10049,INST.DEL PROFESORADO DE EDUC.FISICA
340,100007700,10049,ESCUELA N° 701 C. J. ARMSTRONG
341,100007900,10049,ESCUELA SECUNDARIA N° 46 HIPÓLITO YRIGOYEN
342,100056100,10021,ESCUELA DE EDUCACION ESPECIAL N°2 - UN NUEVO DIA
343,140015500,14014,ESCUELA NOCTURNA ANTARTIDA ARGENTINA
344,140046400,14014,J.DE INF. ESCUELA MATERNAL Nº 2
345,140051500,14014,J.DE INF. MANUEL LUCERO
346,140106100,14147,CORNELIO SAAVEDRA
347,140158800,14014,COLEGIO SAN JOSE OBRERO
348,140168900,14098,DALMACIO VELEZ SARSFIELD
349,140204800,14063,ESCUELA ROQUE SAENZ PEÑA
350,140233900,14105,DOCTOR DALMACIO VELEZ SARSFIELD
351,140293700,14014,J.DE INF. JUAN MARIA GUTIERREZ
352,140302800,14140,COLEGIO SAN FRANCISCO DE ASIS
353,140308000,14014,GOBERNADOR JUSTO PAEZ MOLINA
354,140327300,14119,C.E.N.M.A. Nº 186
355,140351900,14063,I.P.E.T.y M. Nº 256 LDOR. GRAL. DON JOSE DE SAN MARTIN
356,140383600,14056,INST. SUP. JERONIMO LUIS DE CABRERA
357,140398400,14014,ESCUELA BARTOLOME HIDALGO
358,140421600,14014,J.DE INF. LUTERANO CONCORDIA
359,140444600,14063,ESCUELA SAN MARTIN
360,140481000,14021,ESCUELA PADRE ELADIO DIEZ (EX S/N DE B° 9 DE JULIO )
361,140512501,14098,C.E.N.M.A. REMEDIOS DE ESCALADA DE SAN MARTIN  ANEXO SEDE LAS HIGUERAS
362,140543500,14014,I.P.E.M. Nº 376 NELSON MANDELA
